country,year,age,gender
PL,2005,0-4,m
PL,2006,0-4,m
PL,2007,0-4,m
PL,2008,0-4,m
PR,2007,0-4,m
PR,2008,0-4,m
PS,2006,0-4,m
PS,2007,0-4,m
PS,2008,0-4,m
PT,2005,0-4,m
PT,2006,0-4,m
PT,2007,0-4,m
PT,2008,0-4,m
PW,2006,0-4,m
PW,2007,0-4,m
PY,2006,0-4,m
PY,2007,0-4,m
PY,2008,0-4,m
QA,2007,0-4,m
QA,2008,0-4,m
RO,2005,0-4,m
RO,2006,0-4,m
RO,2007,0-4,m
RO,2008,0-4,m
RS,2005,0-4,m
RS,2006,0-4,m
RS,2007,0-4,m
RS,2008,0-4,m
RU,2007,0-4,m
RU,2008,0-4,m
RW,2007,0-4,m
RW,2008,0-4,m
SA,2008,0-4,m
SB,2007,0-4,m
SB,2008,0-4,m
SC,2008,0-4,m
SD,2006,0-4,m
SD,2008,0-4,m
SE,2005,0-4,m
SE,2006,0-4,m
SE,2007,0-4,m
SE,2008,0-4,m
SG,2006,0-4,m
SG,2007,0-4,m
SG,2008,0-4,m
SI,2005,0-4,m
SI,2006,0-4,m
SI,2007,0-4,m
SI,2008,0-4,m
SK,2005,0-4,m
SK,2006,0-4,m
SK,2007,0-4,m
SK,2008,0-4,m
SL,2007,0-4,m
SL,2008,0-4,m
SN,2008,0-4,m
SR,2006,0-4,m
ST,2006,0-4,m
ST,2007,0-4,m
SV,2007,0-4,m
SV,2008,0-4,m
SY,2006,0-4,m
SY,2007,0-4,m
SY,2008,0-4,m
SZ,2007,0-4,m
SZ,2008,0-4,m
TC,2006,0-4,m
TJ,2005,0-4,m
TJ,2008,0-4,m
TK,2007,0-4,m
TM,2005,0-4,m
TM,2007,0-4,m
TO,2006,0-4,m
TO,2007,0-4,m
TO,2008,0-4,m
TR,2005,0-4,m
TR,2006,0-4,m
TR,2007,0-4,m
TR,2008,0-4,m
TT,2007,0-4,m
TT,2008,0-4,m
TV,2006,0-4,m
TV,2008,0-4,m
UA,2007,0-4,m
UA,2008,0-4,m
UG,2008,0-4,m
US,2006,0-4,m
US,2007,0-4,m
US,2008,0-4,m
UY,2008,0-4,m
UZ,2005,0-4,m
UZ,2006,0-4,m
UZ,2007,0-4,m
UZ,2008,0-4,m
VC,2007,0-4,m
VE,2006,0-4,m
VE,2007,0-4,m
VE,2008,0-4,m
VU,2008,0-4,m
WF,2007,0-4,m
WS,2008,0-4,m
ZA,2006,0-4,m
ZA,2007,0-4,m
ZA,2008,0-4,m
ZW,2007,0-4,m
AD,2005,5-14,m
AD,2006,5-14,m
AD,2008,5-14,m
AE,2006,5-14,m
AE,2007,5-14,m
AE,2008,5-14,m
AG,2007,5-14,m
AL,2005,5-14,m
AL,2006,5-14,m
AL,2007,5-14,m
AL,2008,5-14,m
AM,2005,5-14,m
AM,2006,5-14,m
AM,2007,5-14,m
AM,2008,5-14,m
AN,2006,5-14,m
AR,2006,5-14,m
AR,2007,5-14,m
AR,2008,5-14,m
AT,2005,5-14,m
AT,2006,5-14,m
AT,2007,5-14,m
AU,2006,5-14,m
AU,2007,5-14,m
AZ,2005,5-14,m
AZ,2006,5-14,m
BA,2005,5-14,m
BA,2006,5-14,m
BA,2007,5-14,m
BA,2008,5-14,m
BB,2007,5-14,m
BB,2008,5-14,m
BE,2005,5-14,m
BE,2006,5-14,m
BE,2007,5-14,m
BE,2008,5-14,m
BF,2007,5-14,m
BG,2005,5-14,m
BG,2007,5-14,m
BG,2008,5-14,m
BH,2008,5-14,m
BI,2007,5-14,m
BN,2007,5-14,m
BN,2008,5-14,m
BR,2006,5-14,m
BR,2007,5-14,m
BR,2008,5-14,m
BS,2007,5-14,m
BS,2008,5-14,m
BW,2008,5-14,m
BZ,2006,5-14,m
BZ,2007,5-14,m
BZ,2008,5-14,m
CA,2006,5-14,m
CA,2007,5-14,m
CA,2008,5-14,m
CH,2005,5-14,m
CH,2006,5-14,m
CH,2007,5-14,m
CH,2008,5-14,m
CK,2006,5-14,m
CL,2006,5-14,m
CL,2007,5-14,m
CL,2008,5-14,m
CM,2008,5-14,m
CR,2006,5-14,m
CR,2007,5-14,m
CR,2008,5-14,m
CU,2008,5-14,m
CV,2006,5-14,m
CV,2008,5-14,m
CY,2005,5-14,m
CY,2006,5-14,m
CY,2007,5-14,m
CY,2008,5-14,m
CZ,2005,5-14,m
CZ,2006,5-14,m
CZ,2007,5-14,m
CZ,2008,5-14,m
DE,2005,5-14,m
DE,2006,5-14,m
DE,2007,5-14,m
DE,2008,5-14,m
DJ,2007,5-14,m
DK,2005,5-14,m
DK,2006,5-14,m
DK,2007,5-14,m
DK,2008,5-14,m
DM,2006,5-14,m
DM,2007,5-14,m
DM,2008,5-14,m
DO,2008,5-14,m
EE,2005,5-14,m
EE,2006,5-14,m
EE,2007,5-14,m
EE,2008,5-14,m
EG,2006,5-14,m
EG,2008,5-14,m
ER,2007,5-14,m
ES,2005,5-14,m
ES,2006,5-14,m
ES,2007,5-14,m
ES,2008,5-14,m
FI,2005,5-14,m
FI,2006,5-14,m
FI,2007,5-14,m
FI,2008,5-14,m
FJ,2006,5-14,m
FM,2006,5-14,m
FM,2008,5-14,m
FR,2005,5-14,m
FR,2006,5-14,m
FR,2007,5-14,m
FR,2008,5-14,m
GA,2008,5-14,m
GB,2005,5-14,m
GB,2006,5-14,m
GB,2007,5-14,m
GB,2008,5-14,m
GD,2006,5-14,m
GE,2005,5-14,m
GE,2006,5-14,m
GE,2007,5-14,m
GE,2008,5-14,m
GM,2006,5-14,m
GM,2008,5-14,m
GR,2005,5-14,m
GR,2006,5-14,m
GR,2007,5-14,m
GR,2008,5-14,m
GT,2007,5-14,m
GT,2008,5-14,m
GU,2007,5-14,m
GU,2008,5-14,m
GY,2008,5-14,m
HK,2005,5-14,m
HK,2006,5-14,m
HK,2007,5-14,m
HK,2008,5-14,m
HN,2006,5-14,m
HN,2007,5-14,m
HN,2008,5-14,m
HR,2005,5-14,m
HR,2006,5-14,m
HR,2008,5-14,m
HT,2007,5-14,m
HT,2008,5-14,m
HU,2005,5-14,m
HU,2006,5-14,m
HU,2007,5-14,m
HU,2008,5-14,m
ID,2007,5-14,m
ID,2008,5-14,m
IE,2005,5-14,m
IE,2006,5-14,m
IE,2007,5-14,m
IE,2008,5-14,m
IL,2005,5-14,m
IL,2006,5-14,m
IL,2007,5-14,m
IL,2008,5-14,m
IQ,2006,5-14,m
IQ,2007,5-14,m
IQ,2008,5-14,m
IR,2006,5-14,m
IR,2007,5-14,m
IR,2008,5-14,m
IS,2005,5-14,m
IS,2006,5-14,m
IS,2007,5-14,m
IS,2008,5-14,m
IT,2005,5-14,m
IT,2006,5-14,m
IT,2007,5-14,m
IT,2008,5-14,m
JM,2006,5-14,m
JM,2007,5-14,m
JM,2008,5-14,m
JO,2006,5-14,m
JO,2007,5-14,m
JO,2008,5-14,m
JP,2006,5-14,m
JP,2007,5-14,m
JP,2008,5-14,m
KE,2007,5-14,m
KE,2008,5-14,m
KG,2005,5-14,m
KG,2006,5-14,m
KG,2007,5-14,m
KG,2008,5-14,m
KI,2007,5-14,m
KI,2008,5-14,m
KM,2006,5-14,m
KM,2008,5-14,m
KN,2008,5-14,m
KP,2008,5-14,m
KR,2006,5-14,m
KR,2007,5-14,m
KR,2008,5-14,m
KW,2007,5-14,m
KW,2008,5-14,m
KY,2006,5-14,m
KY,2007,5-14,m
KZ,2005,5-14,m
KZ,2007,5-14,m
KZ,2008,5-14,m
LB,2006,5-14,m
LB,2007,5-14,m
LB,2008,5-14,m
LC,2008,5-14,m
LR,2008,5-14,m
LS,2007,5-14,m
LS,2008,5-14,m
LT,2005,5-14,m
LT,2006,5-14,m
LT,2007,5-14,m
LT,2008,5-14,m
LU,2005,5-14,m
LU,2006,5-14,m
LU,2007,5-14,m
LU,2008,5-14,m
LV,2005,5-14,m
LV,2006,5-14,m
LV,2008,5-14,m
LY,2006,5-14,m
LY,2008,5-14,m
MA,2006,5-14,m
MA,2007,5-14,m
MA,2008,5-14,m
MD,2005,5-14,m
MD,2007,5-14,m
MD,2008,5-14,m
ME,2005,5-14,m
ME,2006,5-14,m
ME,2007,5-14,m
ME,2008,5-14,m
MG,2007,5-14,m
MG,2008,5-14,m
MH,2007,5-14,m
MH,2008,5-14,m
MK,2005,5-14,m
MK,2006,5-14,m
MK,2007,5-14,m
MK,2008,5-14,m
ML,2008,5-14,m
MO,2007,5-14,m
MO,2008,5-14,m
MP,2007,5-14,m
MP,2008,5-14,m
MT,2005,5-14,m
MT,2006,5-14,m
MT,2007,5-14,m
MT,2008,5-14,m
MU,2007,5-14,m
MU,2008,5-14,m
MV,2006,5-14,m
MV,2007,5-14,m
MV,2008,5-14,m
MW,2007,5-14,m
MW,2008,5-14,m
MX,2006,5-14,m
MX,2007,5-14,m
MX,2008,5-14,m
MY,2007,5-14,m
MY,2008,5-14,m
NC,2008,5-14,m
NE,2008,5-14,m
NI,2006,5-14,m
NI,2007,5-14,m
NL,2005,5-14,m
NL,2006,5-14,m
NL,2007,5-14,m
NL,2008,5-14,m
NO,2005,5-14,m
NO,2006,5-14,m
NO,2008,5-14,m
NP,2006,5-14,m
NP,2007,5-14,m
NR,2006,5-14,m
NR,2007,5-14,m
NR,2008,5-14,m
NU,2006,5-14,m
NU,2007,5-14,m
NZ,2006,5-14,m
NZ,2007,5-14,m
NZ,2008,5-14,m
OM,2006,5-14,m
OM,2008,5-14,m
PA,2008,5-14,m
PE,2006,5-14,m
PE,2007,5-14,m
PE,2008,5-14,m
PF,2008,5-14,m
PL,2005,5-14,m
PL,2006,5-14,m
PL,2007,5-14,m
PL,2008,5-14,m
PR,2007,5-14,m
PR,2008,5-14,m
PS,2006,5-14,m
PS,2007,5-14,m
PS,2008,5-14,m
PT,2005,5-14,m
PT,2006,5-14,m
PT,2007,5-14,m
PT,2008,5-14,m
PW,2006,5-14,m
PW,2007,5-14,m
PY,2006,5-14,m
PY,2007,5-14,m
PY,2008,5-14,m
QA,2007,5-14,m
QA,2008,5-14,m
RO,2005,5-14,m
RO,2006,5-14,m
RO,2007,5-14,m
RO,2008,5-14,m
RS,2005,5-14,m
RS,2006,5-14,m
RS,2007,5-14,m
RS,2008,5-14,m
RU,2007,5-14,m
RU,2008,5-14,m
RW,2007,5-14,m
RW,2008,5-14,m
SA,2008,5-14,m
SB,2007,5-14,m
SB,2008,5-14,m
SC,2008,5-14,m
SD,2006,5-14,m
SD,2008,5-14,m
SE,2005,5-14,m
SE,2006,5-14,m
SE,2007,5-14,m
SE,2008,5-14,m
SG,2006,5-14,m
SG,2007,5-14,m
SG,2008,5-14,m
SI,2005,5-14,m
SI,2006,5-14,m
SI,2007,5-14,m
SI,2008,5-14,m
SK,2005,5-14,m
SK,2006,5-14,m
SK,2007,5-14,m
SK,2008,5-14,m
SL,2007,5-14,m
SL,2008,5-14,m
SN,2008,5-14,m
SR,2006,5-14,m
ST,2006,5-14,m
ST,2007,5-14,m
SV,2007,5-14,m
SV,2008,5-14,m
SY,2006,5-14,m
SY,2007,5-14,m
SY,2008,5-14,m
SZ,2007,5-14,m
SZ,2008,5-14,m
TC,2006,5-14,m
TG,2007,5-14,m
TJ,2005,5-14,m
TJ,2008,5-14,m
TK,2007,5-14,m
TM,2005,5-14,m
TM,2007,5-14,m
TO,2006,5-14,m
TO,2007,5-14,m
TO,2008,5-14,m
TR,2005,5-14,m
TR,2006,5-14,m
TR,2007,5-14,m
TR,2008,5-14,m
TT,2006,5-14,m
TT,2007,5-14,m
TT,2008,5-14,m
TV,2006,5-14,m
TV,2008,5-14,m
UA,2007,5-14,m
UA,2008,5-14,m
UG,2008,5-14,m
US,2006,5-14,m
US,2007,5-14,m
US,2008,5-14,m
UY,2008,5-14,m
UZ,2005,5-14,m
UZ,2006,5-14,m
UZ,2007,5-14,m
UZ,2008,5-14,m
VC,2007,5-14,m
VE,2006,5-14,m
VE,2007,5-14,m
VE,2008,5-14,m
VU,2006,5-14,m
VU,2008,5-14,m
WF,2007,5-14,m
WS,2008,5-14,m
ZA,2006,5-14,m
ZA,2007,5-14,m
ZA,2008,5-14,m
ZW,2007,5-14,m
AD,1996,,m
AD,1997,,m
AD,1998,,m
AD,1999,,m
AD,2000,,m
AD,2001,,m
AD,2002,,m
AD,2003,,m
AD,2004,,m
AD,2005,,m
AD,2006,,m
AD,2008,,m
AE,1999,,m
AE,2000,,m
AE,2002,,m
AE,2003,,m
AE,2004,,m
AE,2006,,m
AE,2007,,m
AE,2008,,m
AF,1997,,m
AF,1998,,m
AF,1999,,m
AF,2000,,m
AF,2001,,m
AF,2002,,m
AF,2003,,m
AF,2004,,m
AF,2005,,m
AF,2006,,m
AF,2007,,m
AF,2008,,m
AG,1996,,m
AG,2000,,m
AG,2002,,m
AG,2003,,m
AG,2007,,m
AI,2004,,m
AL,1995,,m
AL,1997,,m
AL,1998,,m
AL,1999,,m
AL,2000,,m
AL,2001,,m
AL,2002,,m
AL,2003,,m
AL,2004,,m
AL,2005,,m
AL,2006,,m
AL,2007,,m
AL,2008,,m
AM,1995,,m
AM,1996,,m
AM,1997,,m
AM,1998,,m
AM,1999,,m
AM,2000,,m
AM,2001,,m
AM,2002,,m
AM,2003,,m
AM,2004,,m
AM,2005,,m
AM,2006,,m
AM,2007,,m
AM,2008,,m
AN,1996,,m
AN,1997,,m
AN,1998,,m
AN,1999,,m
AN,2000,,m
AN,2001,,m
AN,2002,,m
AN,2003,,m
AN,2004,,m
AN,2006,,m
AO,1995,,m
AO,1996,,m
AO,1997,,m
AO,1998,,m
AO,1999,,m
AO,2000,,m
AO,2001,,m
AO,2002,,m
AO,2003,,m
AO,2004,,m
AO,2005,,m
AO,2006,,m
AO,2007,,m
AO,2008,,m
AR,1996,,m
AR,1997,,m
AR,1998,,m
AR,1999,,m
AR,2000,,m
AR,2001,,m
AR,2002,,m
AR,2003,,m
AR,2004,,m
AR,2005,,m
AR,2006,,m
AR,2007,,m
AR,2008,,m
AS,1997,,m
AT,1995,,m
AT,1997,,m
AT,1999,,m
AT,2000,,m
AT,2001,,m
AT,2002,,m
AT,2003,,m
AT,2004,,m
AT,2005,,m
AT,2006,,m
AT,2007,,m
AU,1997,,m
AU,1998,,m
AU,1999,,m
AU,2000,,m
AU,2001,,m
AU,2002,,m
AU,2003,,m
AU,2004,,m
AU,2005,,m
AU,2006,,m
AU,2007,,m
AU,2008,,m
AZ,1995,,m
AZ,1996,,m
AZ,1997,,m
AZ,1998,,m
AZ,1999,,m
AZ,2000,,m
AZ,2001,,m
AZ,2002,,m
AZ,2003,,m
AZ,2004,,m
AZ,2005,,m
AZ,2006,,m
BA,1995,,m
BA,1996,,m
BA,1997,,m
BA,1998,,m
BA,1999,,m
BA,2000,,m
BA,2001,,m
BA,2002,,m
BA,2003,,m
BA,2004,,m
BA,2005,,m
BA,2006,,m
BA,2007,,m
BA,2008,,m
BB,1996,,m
BB,2000,,m
BB,2001,,m
BB,2007,,m
BB,2008,,m
BD,1995,,m
BD,1996,,m
BD,1997,,m
BD,1998,,m
BD,1999,,m
BD,2000,,m
BD,2001,,m
BD,2002,,m
BD,2003,,m
BD,2004,,m
BD,2005,,m
BD,2006,,m
BD,2007,,m
BD,2008,,m
BE,1995,,m
BE,1996,,m
BE,1997,,m
BE,1998,,m
BE,1999,,m
BE,2000,,m
BE,2001,,m
BE,2002,,m
BE,2003,,m
BE,2004,,m
BE,2005,,m
BE,2006,,m
BE,2007,,m
BE,2008,,m
BF,1995,,m
BF,1996,,m
BF,1997,,m
BF,1998,,m
BF,1999,,m
BF,2000,,m
BF,2001,,m
BF,2002,,m
BF,2003,,m
BF,2004,,m
BF,2005,,m
BF,2006,,m
BF,2007,,m
BF,2008,,m
BG,2000,,m
BG,2001,,m
BG,2002,,m
BG,2003,,m
BG,2004,,m
BG,2005,,m
BG,2006,,m
BG,2007,,m
BG,2008,,m
BH,1995,,m
BH,1996,,m
BH,1997,,m
BH,1998,,m
BH,1999,,m
BH,2000,,m
BH,2001,,m
BH,2002,,m
BH,2003,,m
BH,2004,,m
BH,2005,,m
BH,2006,,m
BH,2007,,m
BH,2008,,m
BI,1995,,m
BI,1996,,m
BI,1997,,m
BI,1998,,m
BI,1999,,m
BI,2001,,m
BI,2002,,m
BI,2003,,m
BI,2004,,m
BI,2005,,m
BI,2006,,m
BI,2007,,m
BI,2008,,m
BJ,1995,,m
BJ,1996,,m
BJ,1997,,m
BJ,1998,,m
BJ,1999,,m
BJ,2000,,m
BJ,2002,,m
BJ,2003,,m
BJ,2004,,m
BJ,2005,,m
BJ,2006,,m
BJ,2008,,m
BM,2004,,m
BN,1999,,m
BN,2000,,m
BN,2002,,m
BN,2003,,m
BN,2004,,m
BN,2005,,m
BN,2006,,m
BN,2007,,m
BN,2008,,m
BO,1996,,m
BO,1997,,m
BO,1998,,m
BO,1999,,m
BO,2000,,m
BO,2001,,m
BO,2002,,m
BO,2003,,m
BO,2004,,m
BO,2005,,m
BO,2006,,m
BO,2007,,m
BO,2008,,m
BR,1999,,m
BR,2000,,m
BR,2001,,m
BR,2002,,m
BR,2003,,m
BR,2004,,m
BR,2005,,m
BR,2006,,m
BR,2007,,m
BR,2008,,m
BS,1995,,m
BS,1996,,m
BS,1997,,m
BS,1998,,m
BS,1999,,m
BS,2000,,m
BS,2002,,m
BS,2003,,m
BS,2004,,m
BS,2007,,m
BS,2008,,m
BT,1995,,m
BT,1996,,m
BT,1997,,m
BT,1998,,m
BT,1999,,m
BT,2000,,m
BT,2001,,m
BT,2002,,m
BT,2003,,m
BT,2004,,m
BT,2005,,m
BT,2006,,m
BT,2007,,m
BT,2008,,m
BW,1997,,m
BW,1999,,m
BW,2000,,m
BW,2001,,m
BW,2002,,m
BW,2003,,m
BW,2004,,m
BW,2005,,m
BW,2006,,m
BW,2007,,m
BW,2008,,m
BY,2001,,m
BY,2002,,m
BY,2003,,m
BZ,1995,,m
BZ,1996,,m
BZ,1997,,m
BZ,2000,,m
BZ,2001,,m
BZ,2002,,m
BZ,2003,,m
BZ,2004,,m
BZ,2005,,m
BZ,2006,,m
BZ,2007,,m
BZ,2008,,m
CA,1980,,m
CA,1981,,m
CA,1982,,m
CA,1983,,m
CA,1984,,m
CA,1985,,m
CA,1986,,m
CA,1987,,m
CA,1988,,m
CA,1989,,m
CA,1990,,m
CA,1991,,m
CA,1992,,m
CA,1993,,m
CA,1994,,m
CA,1995,,m
CA,1996,,m
CA,1997,,m
CA,1998,,m
CA,1999,,m
CA,2000,,m
CA,2001,,m
CA,2002,,m
CA,2003,,m
CA,2004,,m
CA,2005,,m
CA,2006,,m
CA,2007,,m
CA,2008,,m
CD,1995,,m
CD,1996,,m
CD,1997,,m
CD,1998,,m
CD,1999,,m
CD,2000,,m
CD,2001,,m
CD,2002,,m
CD,2003,,m
CD,2004,,m
CD,2005,,m
CD,2006,,m
CD,2007,,m
CD,2008,,m
CF,1995,,m
CF,1996,,m
CF,1997,,m
CF,1998,,m
CF,1999,,m
CF,2001,,m
CF,2002,,m
CF,2004,,m
CF,2005,,m
CF,2006,,m
CF,2008,,m
CG,1995,,m
CG,1999,,m
CG,2001,,m
CG,2004,,m
CG,2006,,m
CG,2007,,m
CG,2008,,m
CH,1995,,m
CH,1996,,m
CH,1997,,m
CH,1998,,m
CH,1999,,m
CH,2000,,m
CH,2001,,m
CH,2002,,m
CH,2003,,m
CH,2004,,m
CH,2005,,m
CH,2006,,m
CH,2007,,m
CH,2008,,m
CI,1995,,m
CI,1996,,m
CI,1997,,m
CI,1998,,m
CI,1999,,m
CI,2001,,m
CI,2002,,m
CI,2003,,m
CI,2004,,m
CI,2005,,m
CI,2006,,m
CI,2007,,m
CI,2008,,m
CK,1980,,m
CK,1981,,m
CK,1982,,m
CK,1983,,m
CK,1984,,m
CK,1985,,m
CK,1986,,m
CK,1987,,m
CK,1989,,m
CK,1991,,m
CK,1992,,m
CK,1993,,m
CK,1994,,m
CK,1995,,m
CK,1996,,m
CK,1997,,m
CK,1998,,m
CK,2000,,m
CK,2001,,m
CK,2002,,m
CK,2003,,m
CK,2004,,m
CK,2005,,m
CK,2006,,m
CL,1995,,m
CL,1996,,m
CL,1997,,m
CL,1999,,m
CL,2000,,m
CL,2001,,m
CL,2002,,m
CL,2003,,m
CL,2004,,m
CL,2005,,m
CL,2006,,m
CL,2007,,m
CL,2008,,m
CM,1995,,m
CM,1996,,m
CM,1997,,m
CM,1998,,m
CM,1999,,m
CM,2000,,m
CM,2001,,m
CM,2002,,m
CM,2003,,m
CM,2004,,m
CM,2005,,m
CM,2006,,m
CM,2007,,m
CM,2008,,m
CN,1995,,m
CN,1996,,m
CN,1997,,m
CN,1998,,m
CN,1999,,m
CN,2000,,m
CN,2001,,m
CN,2002,,m
CN,2003,,m
CN,2004,,m
CN,2005,,m
CN,2006,,m
CN,2007,,m
CN,2008,,m
CO,1999,,m
